load (concurrent connections),cpu,freemem,pl,rt
200,0.515733192,10282174931,470.5964912,0.090263158
400,0.855805245,10235338393,480.5263158,0.087859649
600,0.930731679,10240450776,519.4736842,0.094701754
800,0.940436085,10263420928,1079.839286,0.111464286
1000,0.947100311,10224988778,872.9056604,0.109924528
1200,0.939799365,10228691391,1910.472727,0.192636364
1400,0.940275104,10217607913,1318.2,0.100072727
1600,0.899772112,10219205446,2037.977273,0.162795455
1800,0.892450892,10227485741,3151.282609,0.084217391
2000,0.956394901,10192760832,3358.166667,0.059166667
2200,0.956394901,10192760832,3358.166667,0.059166667
2400,0.952231643,10141885235,10383.36667,0.0932
2600,0.944450523,10159051045,10876.25,0.331642857
3000,0.930754235,10206531956,10182.39394,0.267151515
3200,0.908492534,10200817788,9314.727273,0.105121212
3400,0.686044946,10205694588,9934.775862,0.112327586
3600,0.908118923,10189185161,10502.86667,0.1089
3800,0.908884467,10185488640,10488.34375,0.08321875
4000,0.898370656,10202202376,10476.03226,0.067967742
4200,0.900941647,10196207946,11291.58065,0.090741935
4400,0.849734295,10200240725,9339.333333,0.081520833
4600,0.908508532,10162927753,11916.76667,0.0892
4800,0.892768215,10196946944,11473.75,0.07321875
5000,0.906256743,10168468096,10979.40625,0.06746875
5200,0.893715944,10182256693,11251.92308,0.092820513
5400,0.893021026,10177235712,12000.6875,0.1040625
5600,0.705180099,10179869570,1594.438596,0.113017544
5800,0.572590664,10146278506,1282.224138,0.124155172
6000,0.747976627,10135608779,2634.931034,0.387827586
6200,0.522000307,10159243476,986.3275862,0.124827586
6400,0.769191021,10160976244,2556.484848,0.078181818
